sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
14,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122143_mimo5s_part0.csv,1,8,1,2,5,17,4.857156,0.5314670000000001,0.1716350000000002,0.8757969999999999,3.2825062000000003,3.7307729999999997,0.1094193803946178,0.29411764705882354
14,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122143_mimo5s_part0.csv,1,8,1,3,7,17,4.857156,0.8506830000000001,0.2667989999999998,3.1025739999999997,3.7369782,3.747423,0.17514014373843462,0.4117647058823529
14,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122143_mimo5s_part0.csv,1,8,1,5,11,17,4.857156,1.0966209999999998,1.015257,3.747423,3.8162103999999997,3.8418989999999997,0.22577430084600944,0.6470588235294118
15,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120652_mimo5s_part0.csv,0,6,1,1,3,18,4.668934,0.23710599999999982,0.02165375000000025,0.5036275,1.4849092000000006,2.236681,0.05078375492135888,0.16666666666666666
15,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120652_mimo5s_part0.csv,0,6,1,2,5,18,4.668934,0.5927439999999999,0.24639799999999967,1.4723230000000003,2.2711867,2.365923,0.12695488948869268,0.2777777777777778
15,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120652_mimo5s_part0.csv,0,6,1,3,7,18,4.668934,0.9317869999999998,0.26832025000000026,1.5413320000000001,2.5135473000000004,2.8615209999999998,0.1995716795311306,0.3888888888888889
15,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120652_mimo5s_part0.csv,0,6,1,5,11,18,4.668934,1.5438945000000002,0.9696845000000001,2.8606417499999997,3.1177862,3.125731,0.33067387544994215,0.6111111111111112
16,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122252_mimo5s_part0.csv,1,8,1,1,3,14,5.241333,0.4443355,0.2764092499999999,1.19909075,1.4835198000000003,2.839286,0.084775285218474,0.21428571428571427
16,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122252_mimo5s_part0.csv,1,8,1,2,5,14,5.241333,1.0927099999999998,0.6033007499999999,1.51738425,2.8481494,3.1289160000000003,0.2084794078147677,0.35714285714285715
16,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122252_mimo5s_part0.csv,1,8,1,3,7,14,5.241333,1.5941245,1.0645467499999999,2.5994757500000003,3.1335507000000002,3.1379960000000002,0.3041448616220339,0.5
16,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122252_mimo5s_part0.csv,1,8,1,5,11,14,5.241333,2.3863820000000002,2.10395175,3.34004375,3.7412871000000005,3.891153,0.455300588609806,0.7857142857142857
17,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122149_mimo5s_part0.csv,1,8,1,1,3,17,4.989699,0.25915,0.22339099999999945,0.5848309999999999,1.4911922000000006,2.621775,0.05193700060865395,0.17647058823529413
17,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122149_mimo5s_part0.csv,1,8,1,2,5,17,4.989699,0.7674910000000001,0.2622119999999999,1.3004310000000001,2.6378046,3.369318,0.1538150898481051,0.29411764705882354
17,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122149_mimo5s_part0.csv,1,8,1,3,7,17,4.989699,1.1179009999999998,0.5024800000000003,1.8234870000000005,3.4393812,3.9541489999999997,0.22404177085631816,0.4117647058823529
17,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122149_mimo5s_part0.csv,1,8,1,5,11,17,4.989699,2.0856990000000004,1.027419,3.9541489999999997,4.1809968,4.487219,0.41800096558930716,0.6470588235294118
18,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120634_mimo5s_part0.csv,0,6,1,1,3,4,3.953775,1.9768875,1.01157875,2.94219625,3.0105769,3.056164,0.5,0.75
18,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120634_mimo5s_part0.csv,0,6,1,2,5,4,3.953775,3.5049694999999996,3.01817475,3.953775,3.953775,3.953775,0.8864868385277361,1.0
18,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120634_mimo5s_part0.csv,0,6,1,3,7,4,3.953775,3.953775,3.953775,3.953775,3.953775,3.953775,1.0,1.0
18,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120634_mimo5s_part0.csv,0,6,1,5,11,4,3.953775,3.953775,3.953775,3.953775,3.953775,3.953775,1.0,1.0
19,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120709_mimo5s_part0.csv,0,6,1,1,3,4,3.4314489999999997,1.7157244999999999,0.4739374999999999,2.9575115,2.9585006,2.95916,0.5,0.75
19,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120709_mimo5s_part0.csv,0,6,1,2,5,4,3.4314489999999997,3.1953044999999998,2.3379917499999996,3.4314489999999997,3.4314489999999997,3.4314489999999997,0.9311822789731102,1.0
19,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120709_mimo5s_part0.csv,0,6,1,3,7,4,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,1.0,1.0
19,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120709_mimo5s_part0.csv,0,6,1,5,11,4,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,3.4314489999999997,1.0,1.0
20,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120617_mimo5s_part0.csv,0,6,1,1,3,7,6.723552,1.5736019999999997,1.0352314999999999,2.4962635,3.6893330000000004,4.653089,0.23404325570769732,0.42857142857142855
20,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120617_mimo5s_part0.csv,0,6,1,2,5,7,6.723552,4.620431,1.9007439999999998,4.822808,5.286183,5.726667,0.6872009021422011,0.7142857142857143
20,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120617_mimo5s_part0.csv,0,6,1,3,7,7,6.723552,4.992527,3.4241585,6.146398,6.6290982,6.723552,0.742543078420454,1.0
20,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120617_mimo5s_part0.csv,0,6,1,5,11,7,6.723552,6.723552,6.6448405,6.723552,6.723552,6.723552,1.0,1.0
21,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120640_mimo5s_part0.csv,0,6,1,1,3,7,5.005987999999999,1.7781699999999998,0.28593899999999994,2.3091274999999998,2.9110731999999997,3.0414399999999997,0.3552086021780316,0.42857142857142855
21,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120640_mimo5s_part0.csv,0,6,1,2,5,7,5.005987999999999,3.209662,1.7872479999999997,3.915075,4.6956124,4.835533,0.6411645413452849,0.7142857142857143
21,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120640_mimo5s_part0.csv,0,6,1,3,7,7,5.005987999999999,4.602332,3.2187399999999995,4.9207605,5.0046482,5.005987999999999,0.919365368035241,1.0
21,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120640_mimo5s_part0.csv,0,6,1,5,11,7,5.005987999999999,5.005987999999999,5.0048715,5.005987999999999,5.005987999999999,5.005987999999999,1.0,1.0
22,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120726_mimo5s_part0.csv,0,6,1,1,3,7,2.1444739999999998,0.6693249999999997,0.008864499999999904,1.0658665,1.3642798,1.46905,0.3121161646165912,0.42857142857142855
22,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120726_mimo5s_part0.csv,0,6,1,2,5,7,2.1444739999999998,1.3060629999999998,0.7538679999999999,1.803441,2.1343898,2.138375,0.609036528304843,0.7142857142857143
22,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120726_mimo5s_part0.csv,0,6,1,3,7,7,2.1444739999999998,2.132844,1.390606,2.140869,2.1438074,2.1444739999999998,0.9945767586830151,1.0
22,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120726_mimo5s_part0.csv,0,6,1,5,11,7,2.1444739999999998,2.1444739999999998,2.1439185,2.1444739999999998,2.1444739999999998,2.1444739999999998,1.0,1.0
