variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
detrend_first50_only,7.62939453125e-06,0.9859727621078491,1.402527093887329,1.2192329168319702,0.3623765581997734,0.11604338675732556,1.8129732608795166,1.0,1.8129732608795166,0.2174651890030224,8.33684356191059,0.0007350066463366956,0.8504374751310345,0.5738093050283837,0.07558057705840956,-0.10391331766136969,0.915504569971779,0.6250406556594554,0.062491203377902885,-0.06785187639721824,3,1421
detrend_fullspan50_only,7.62939453125e-06,1.196452021598816,1.619400978088379,1.5077852010726929,0.5003723490367492,0.2210458151206087,1.8129640817642212,0.9999999999999999,1.8129640817642214,0.21746517695075462,8.336801814364836,0.0007350066463366956,0.8213405111770052,0.4999619996188968,0.10002345765892563,-0.04654141237647447,0.9202816014742575,0.5928277414271774,0.06682305105950426,-0.005053031955479903,3,1421
robust_shared_first50,7.62939453125e-06,0.7795271277427673,0.7812076210975647,3.335524922931654e-08,0.0,0.0,1.8183108568191528,0.9999999999999999,1.818310856819153,0.217465181208032,8.361388460986388,0.000750645085620455,0.957010181314089,0.9344800236950033,0.0,-3.9920079613620096e-05,0.9974077280606951,0.9800373571697071,0.0,-0.00016810622592267066,3,1421
robust_window_limited,1.1444091796875e-05,0.9118157625198364,0.908927857875824,0.46886900067329407,0.12643678160919541,0.08045977011494253,1.775646686553955,1.0000000000000002,1.7756466865539546,0.21746517192778853,8.16520029765307,0.0007193682070529361,0.924040151523843,0.8549789414789094,0.02258190632574869,0.0017890444528054772,0.9646691636418142,0.9230274215493188,0.022378606615059818,0.0010971938762952549,3,1421
robust_fullspan50,1.1444091796875e-05,1.2213627099990845,1.6221812963485718,1.6098428964614868,0.5188926663428849,0.2958070260644326,1.8247421979904175,0.9999999999999998,1.824742197990418,0.217465176940674,8.390962744753473,0.0007662835249042146,0.8127227622935115,0.46500608767487916,0.1145515677535382,-0.0825636310974035,0.9072925818315979,0.5646596235530503,0.07559621549769333,-0.06355364293518684,3,1421
robust_first50,7.62939453125e-06,0.914072573184967,1.259320855140686,1.3487926721572876,0.38047595920349686,0.17251092763477416,1.8150511980056763,1.0,1.8150511980056763,0.21746518638196488,8.346398925746419,0.0007350066463366956,0.8674375273861448,0.5926308951327599,0.06510282273829072,-0.08916674596842811,0.929311150806509,0.6703591173900123,0.03460786613495973,-0.04842244848863542,3,1421
no_calibration,3.814697265625e-06,0.803471565246582,0.799022376537323,6.451515218941495e-05,0.0,0.0,1.812651515007019,1.0,1.812651515007019,0.194190527801677,9.334397179548555,0.0005510571300044985,0.9551210338461388,0.9311982110587017,0.0,0.0007263779824486782,0.9966355676219838,0.9801610312123573,0.0,0.00022880940328351418,4,1976
linear_reference,7.62939453125e-06,0.11681729555130005,0.11417064070701599,0.7629550099372864,0.0,0.0,0.3410941958427429,0.9999999999999998,0.341094195842743,0.19419052894507247,1.7564924391303487,0.0005285650022492128,0.9994822680985748,0.998486269525826,0.0,3.8455450005914216e-05,1.0012497249532706,0.999675726984213,0.0,-3.1674065210651747e-06,4,1976
common_only,0.0,0.803472101688385,0.7990230917930603,0.0,0.0,0.0,1.8151774406433105,1.0000000000000002,1.81517744064331,0.19419052689425687,9.347404683812071,0.0005398110661268556,0.95512131311816,0.9311964501787333,0.0,0.0007270297118860958,0.996636010655249,0.9801622590779083,0.0,0.0002298507302892494,4,1976
detrend_first50_only,7.62939453125e-06,0.9712442755699158,1.529148817062378,1.4259830713272095,0.39061845595420913,0.1722974545116106,1.8048710823059082,1.0,1.8048710823059082,0.19419052839237952,9.294331176951138,0.0005398110661268556,0.864920388369625,0.6496995889565605,0.03442420152946469,-0.10046682799445983,0.9477892026983642,0.7844235565836124,0.011358524516419253,-0.05220033322935458,4,1976
detrend_fullspan50_only,7.62939453125e-06,1.2895877361297607,1.4785382747650146,1.4751099348068237,0.45844385499557916,0.24123970403462236,1.8143407106399536,0.9999999999999998,1.814340710639954,0.19419052624213012,9.34309590560411,0.0005398110661268556,0.8222471193108977,0.4895175859922566,0.10426225820962663,-0.008181183095835265,0.9207875468466489,0.5839634553440838,0.07105263157894737,0.03764250045308115,4,1976
robust_shared_first50,7.62939453125e-06,0.803472101688385,0.7990230917930603,3.257674308088099e-08,0.0,0.0,1.8140919208526611,1.0,1.8140919208526611,0.19419052696036745,9.34181470769118,0.0005398110661268556,0.9551213129266293,0.931196471018781,0.0,0.0007270297365414846,0.9966360104548828,0.9801622001975169,0.0,0.00022985084681981238,4,1976
robust_window_limited,7.62939453125e-06,0.8276278376579285,0.8178857564926147,0.13920573890209198,0.011494252873563218,0.0,1.8201344013214111,0.9999999999999998,1.8201344013214116,0.19419052387895588,9.372931103764616,0.0005173189383715699,0.9522514941117489,0.9216625628280104,0.0,0.0018418195084669575,0.9983558006022687,0.9770283615627605,0.0,0.0014987633205005846,4,1976
robust_fullspan50,7.62939453125e-06,1.2728829383850098,1.4560030698776245,1.3320711851119995,0.38968774721950766,0.18488529014844804,1.8870078325271606,1.0,1.8870078325271606,0.1941905203826766,9.717301487264038,0.0005398110661268556,0.8144195427839923,0.48499258589432304,0.10639901034637876,0.0029247918287338415,0.8977192587513346,0.5559772529704841,0.08216374269005848,0.036464987124703474,4,1976
robust_first50,7.62939453125e-06,0.9896937608718872,1.31204354763031,1.316025733947754,0.3525757364232863,0.13976918423379403,1.7918310165405273,0.9999999999999998,1.7918310165405278,0.1941905276728219,9.227180326526835,0.0005285650022492128,0.8791669579213087,0.64551177453671,0.044455690508322085,-0.09606081521912979,0.95761978806124,0.7985060421507955,0.013067926225820963,-0.06910426559132365,4,1976
no_calibration,3.814697265625e-06,0.8028257489204407,0.8055475950241089,0.00018893736705649644,0.0,0.0,1.8132455348968506,1.0,1.8132455348968506,0.18252895624545368,9.934015797792158,0.0007447565850720114,0.9537970107406465,0.9281386159744314,0.0,-0.000339197150934889,0.9961358893540309,0.9787485985336069,0.0,-0.00018530423988727396,5,2029
